ID,RA,DEC,EIDOLON_SCORE,RA_Telescope,DEC_Telescope,Best_Site,Best_UTC_Start,Best_UTC_End,Best_Altitude,Moon_Separation_Deg
EID-0P-162242,288.36486486486484,64.43303308805427,2.5291518870607158e+38,19:13:27.6,+64:25:58.9,New_Mexico,2025-05-24T10:26:09.708809,2025-05-24T11:26:09.708809,58.29,92.64
EID-0P-167783,70.04882812499999,-1.884087493200326,7.2421991470539555e+37,04:40:11.7,-01:53:02.7,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.75,155.58
EID-0P-167779,70.07080078125,-1.9400715768374823,7.088923975668461e+37,04:40:17.0,-01:56:24.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.81,155.52
EID-0P-167776,70.07080078125,-1.977395325411706,7.088923975668461e+37,04:40:17.0,-01:58:38.6,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.84,155.48
EID-0P-167777,70.09277343749999,-1.9587333471852872,7.088923975668461e+37,04:40:22.3,-01:57:31.4,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.83,155.49
EID-0P-167778,70.11474609375,-1.9400715768374823,7.088923975668461e+37,04:40:27.5,-01:56:24.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.81,155.5
EID-0P-167794,69.85107421874999,-1.90274865183136,6.606586500113428e+37,04:39:24.3,-01:54:09.9,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.75,155.63
EID-0P-167790,69.80712890625,-1.9400715768374823,6.606586500113428e+37,04:39:13.7,-01:56:24.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.79,155.62
EID-0P-167791,69.82910156249999,-1.9214100123816564,6.606586500113428e+37,04:39:19.0,-01:55:17.1,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.77,155.63
EID-0P-167792,69.873046875,-1.9214100123816564,6.606586500113428e+37,04:39:29.5,-01:55:17.1,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.77,155.61
EID-0P-167789,69.85107421874999,-1.9400715768374823,6.606586500113428e+37,04:39:24.3,-01:56:24.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.79,155.6
EID-0P-167788,69.82910156249999,-1.9587333471852872,6.606586500113428e+37,04:39:19.0,-01:57:31.4,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.81,155.59
EID-0P-167786,69.873046875,-1.9587333471852872,6.606586500113428e+37,04:39:29.5,-01:57:31.4,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.81,155.57
EID-0P-169589,60.88623046875001,-0.1119058905094192,5.677425092479899e+37,04:03:32.7,-00:06:42.9,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.22,159.27
EID-0P-154006,27.58064516129032,87.87550908287442,5.656930015954929e+37,01:50:19.4,+87:52:31.8,,,,,
EID-0P-208073,188.76708984375,1.0818205316866454,4.680230242944763e+37,12:35:04.1,+01:04:54.6,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.64,56.98
EID-0P-167818,69.56542968749999,-0.6154938443187774,4.261313999151225e+37,04:38:15.7,-00:36:55.8,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,61.45,156.93
EID-0P-169585,60.88623046875001,-0.1865100283253582,4.0642568299874046e+37,04:03:32.7,-00:11:11.4,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.14,159.19
EID-0P-169587,60.84228515625,-0.149207927795814,4.0642568299874046e+37,04:03:22.1,-00:08:57.1,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.17,159.23
EID-0P-169591,60.77636718749999,-0.1678589691669998,4.0642568299874046e+37,04:03:06.3,-00:10:04.3,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.14,159.21
EID-0P-167784,69.873046875,-1.9960575135035867,4.041597562570856e+37,04:39:29.5,-01:59:45.8,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.85,155.54
EID-0P-167775,70.04882812499999,-1.9960575135035867,3.7074363756414095e+37,04:40:11.7,-01:59:45.8,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.86,155.47
EID-0P-169593,60.79833984374999,-0.0373019424222746,3.3876651527724057e+37,04:03:11.6,-00:02:14.3,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.28,159.34
EID-0P-154003,25.65,87.71558071948807,3.348578691793538e+37,01:42:36.0,+87:42:56.1,New_Mexico,2025-05-25T16:26:09.708809,2025-05-25T17:26:09.708809,35.06,112.81
EID-0P-166517,70.04882812499999,-2.294682686740998,3.203887049793549e+37,04:40:11.7,-02:17:40.9,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.16,155.2
EID-0P-166524,69.3896484375,-2.5186920586795765,3.0636247257542656e+37,04:37:33.5,-02:31:07.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.33,155.23
EID-0P-166523,69.34570312499999,-2.556030607111879,3.0636247257542656e+37,04:37:23.0,-02:33:21.7,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.36,155.21
EID-0P-166514,69.89501953125,-2.3133487467346896,2.648702484917869e+37,04:39:34.8,-02:18:48.1,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.17,155.24
EID-0P-166512,69.98291015625,-2.3133487467346896,2.648702484917869e+37,04:39:55.9,-02:18:48.1,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.17,155.2
EID-0P-166516,69.96093749999999,-2.257351295785313,2.648702484917869e+37,04:39:50.6,-02:15:26.5,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.12,155.26
EID-0P-166515,69.93896484374999,-2.276016870421373,2.648702484917869e+37,04:39:45.4,-02:16:33.7,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.13,155.26
EID-0P-167787,69.93896484374999,-1.9400715768374823,2.535187918947327e+37,04:39:45.4,-01:56:24.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.8,155.57
EID-0P-167774,69.98291015625,-1.977395325411706,2.535187918947327e+37,04:39:55.9,-01:58:38.6,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.84,155.52
EID-0P-167785,69.89501953125,-1.977395325411706,2.535187918947327e+37,04:39:34.8,-01:58:38.6,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.83,155.55
EID-0P-167781,69.98291015625,-1.9400715768374823,2.535187918947327e+37,04:39:55.9,-01:56:24.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.8,155.55
EID-0P-167782,70.0048828125,-1.9214100123816564,2.535187918947327e+37,04:40:01.2,-01:55:17.1,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.78,155.56
EID-0P-167780,70.02685546875,-1.9400715768374823,2.535187918947327e+37,04:40:06.4,-01:56:24.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.8,155.53
EID-0P-167795,69.96093749999999,-1.9214100123816564,2.535187918947327e+37,04:39:50.6,-01:55:17.1,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.78,155.58
EID-0P-167793,69.89501953125,-1.90274865183136,2.535187918947327e+37,04:39:34.8,-01:54:09.9,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,62.76,155.62
EID-0P-166519,69.89501953125,-2.238685960842517,2.443440383196984e+37,04:39:34.8,-02:14:19.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.09,155.31
EID-0P-166522,69.98291015625,-2.201356002076764,2.443440383196984e+37,04:39:55.9,-02:12:04.9,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.06,155.31
EID-0P-166518,69.98291015625,-2.238685960842517,2.443440383196984e+37,04:39:55.9,-02:14:19.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.1,155.27
EID-0P-154000,22.93269230769231,87.62419110516873,2.3869949144014697e+37,01:31:43.8,+87:37:27.1,New_Mexico,2025-05-25T16:26:09.708809,2025-05-25T17:26:09.708809,35.16,112.81
EID-0P-169584,60.90820312499999,-0.2051611072473349,2.32420414737646e+37,04:03:38.0,-00:12:18.6,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.13,159.17
EID-0P-169586,60.97412109374999,-0.149207927795814,2.32420414737646e+37,04:03:53.8,-00:08:57.1,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.19,159.23
EID-0P-154012,26.208791208791208,87.92120212722207,2.0926355785712169e+37,01:44:50.1,+87:55:16.3,,,,,
EID-0P-208101,188.876953125,1.1750934813636178,2.0686139041710312e+37,12:35:30.5,+01:10:30.3,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.73,56.92
EID-0P-208084,189.03076171875,1.1191293536348468,2.0686139041710312e+37,12:36:07.4,+01:07:08.9,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.67,56.76
EID-0P-208083,189.0087890625,1.1004748843267862,2.0686139041710312e+37,12:36:02.1,+01:06:01.7,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.65,56.77
EID-0P-208086,188.9208984375,1.1004748843267862,2.0686139041710312e+37,12:35:41.0,+01:06:01.7,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.65,56.85
